"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"CHOPSTICK ASIAN BISTRO","377 WINDSOR HIGHWAY,  NEW WINDSOR","10/10/2025","Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required;","1","0","2","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","377 WINDSOR HIGHWAY","NEW WINDSOR","12553","356400","NEW WINDSOR","Chopstick Asian Bistro","10/31/2026",,"Chopstick Ramen & Sushi, Inc.","Liu","Chunyan","1130509","Inspection",,"NY","(41.458334, -74.054793)"
"COMMISSARY-LAVISH EATS","250 EAST MAIN STREET,  ROCHESTER","05/22/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Monroe County","MONROE","250 EAST MAIN STREET","ROCHESTER","14604","270104","ROCHESTER","COMMISSARY-LAVISH EATS",,,,,,"1172401","Inspection","No violations observed at the time of inspection.","NY","(43.15813, -77.606072)"
"JASON'S JERRY'S INN","18 WEST MAIN STREET,  BAINBRIDGE","10/16/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;","0","0","4","Food Service Establishment - Restaurant/Catering Operation","Chenango County","CHENANGO","18 WEST MAIN STREET","BAINBRIDGE","13733","082100","BAINBRIDGE","JASON'S JERRY'S INN, LLC","11/30/2026",,"JASON'S JERRY'S INN","MACPHERSON","JASON","886221","Inspection","Notes: Facility has replaced the preparation refrigeration unit in the kitchen along the cooking line since the previous inspection. Verified that facility grease trap is present and is cleaned out regularly by facility staff.","NY","(42.294023, -75.48023)"
"Wendy's","7925 Oswego ROAD,  Liverpool","11/25/2025","Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","3","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","7925 Oswego ROAD","Liverpool","13090","335200","CLAY","Wendy's","01/31/2027",,"Bingcuse, LLC (CKA Management LLC)","Sibello","Nina","891901","Inspection","At the time of inspection: |•	Current 2025 Food Service Permit is posted.  |•	Metal stem/probe thermometer noted at facility.  |•	All coolers operating properly to keep potentially hazardous foods at or below 45 degrees F.  |•	All hot holding units operating properly to keep potentially hazardous foods at or above 140 degrees F. |Three bay sink QUAT residual noted at 200PPM. Gloves and hair restraints seen in use. Food allergen poster provided. Choking poster posted.  |Reminders:   DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following:  Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant.|Please note this permit expires on January 31st 2026.  Permit renewal paperwork will be mailed at the end of December.","NY","(43.197216, -76.276884)"
"POLLACK EDUCATION CTR-VOCATION","52 Ferndale Loomis ROAD,  Liberty","01/13/2026","Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.;","1","0","0","Institutional Food Service - School K-12 Food Service","Middletown District Office","SULLIVAN","52 Ferndale Loomis ROAD","Liberty","12754","525800","LIBERTY","POLLACK EDUCATION CTR-VOCATION","03/31/2026",,"Sullivan County BOCES","Schmidt","Susan","347839","Inspection","Kitchen not in use during inspection except for baking prep. No cold or hot holding items available- all food items are ordered for catering events or for scheduled instruction. Discussed proper storage of toxic chemicals in the kitchen. Metal stem thermometer and sanitizing test strips were made available by operator.","NY","(41.789355, -74.777528)"
"COSMOS BAR & GRILL","17 WEST  MAIN STREET,  ST. JOHNSVILLE","12/23/2025","Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","1","0","2","Food Service Establishment - Food Service Establishment","Herkimer District Office","MONTGOMERY","17 WEST  MAIN STREET","ST. JOHNSVILLE","13452","282800","ST. JOHNSVILLE","COSMOS BAR & GRILL","08/31/2026",,"COSMOS BAR & GRILL, LLC","PIERCE","FREDERICK","803581","Inspection","Refrigeration temperatures <45F.  Bare hand barriers and sanitizer available. Allergen and replacement CPR poster provided.","NY","(42.998862, -74.679619)"
"SAL'S PLACE","1495-1  HICKSVILLE  ROAD,  MASSAPEQUA","09/11/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;","0","0","5","Food Service Establishment - Restaurant","Nassau  County","NASSAU","1495-1  HICKSVILLE  ROAD","MASSAPEQUA","11758","295209","OYSTER BAY","SAL'S PLACE","01/31/2027","SAL'S PLACE","N & S CATERERS INC",,,"576162","Inspection","Food managers JO. expires January 2027. Certificate# 80825046","NY","(40.6885, -73.47699)"
"SUBWAY","144 EASTERN BOULEVARD,  WATERTOWN","06/27/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;","0","0","2","Food Service Establishment - Food Service Establishment","Watertown District Office","JEFFERSON","144 EASTERN BOULEVARD","WATERTOWN","13601","220100","WATERTOWN","SUBWAY","12/31/2026",,"Hufnagel Holdings LLC","Hufnagel","Matthew","1106421","Inspection","facility is clean and well maintained. equipment is clean. gloves and hair restraints worn. all food is covered, labeled, and dated properly.|no hot holding at time of inspection |all cold holding temperatures acceptable | - walkin at 26F (green peppers at 37F)| - prep station: ham at 40F, eggs at 44F, cucumbers at 43F, tomatoes at 43F","NY","(43.968012, -75.88117)"
"NT CHINA WOK INC","983 PAYNE AVENUE,  NORTH TONAWANDA","10/09/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Niagara County","NIAGARA","983 PAYNE AVENUE","NORTH TONAWANDA","14120","310300","NO. TONAWANDA","NT CHINA WOK INC","03/31/2026",,"NT CHINA WOK INC","JIANG","YONG MING","286307","Re-Inspection","All Prior violations have been corrected. Gaskets were on premises not installed and food containers in the walkin coolers have started to add raised platform.","NY","(43.050228, -78.877605)"
"FIVE LOAVES FOOD SERVICE","312 BAYVIEW  AVENUE,  INWOOD","10/19/2023","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);","0","0","1","Food Service Establishment - Commissary","Nassau  County","NASSAU","312 BAYVIEW  AVENUE","INWOOD","11096","295022","HEMPSTEAD","FIVE LOAVES FOOD SERVICE","02/28/2026","FIVE LOAVES FOOD SERVICE","ALAN C DAVID INCORPORATED",,,"570950","Inspection","Score: 0/1 “A”|Permit Expires: February 28, 2024.|FMTC: A.D.; Cert #: =34026952; Cert Exp: August 31. 2026.","NY","(40.61396, -73.748696)"
"Colton-Pierrepont Central School","4921 State Highway 56,  Colton","07/24/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);","0","0","2","SED Summer Feeding Prog. - SED Food Preparation Site","Canton District Office","ST LAWRENCE","4921 State Highway 56","Colton","13625","445400","COLTON","Colton-Pierrepont Central School Summer Feeding","03/31/2027",,,,,"1145689","Inspection",,"NY","(44.558547, -74.947336)"
"T F Browns","214 EAST MAIN STREET,  BATAVIA","12/17/2025","Item  7F-  Critical Violation [RED] Precooked, refrigerated potentially hazardous food is not reheated to 165°F or above within two hours.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","1","0","4","Food Service Establishment - Food Service Establishment","Genesee County","GENESEE","214 EAST MAIN STREET","BATAVIA","14020","180100","BATAVIA","T F Browns","01/31/2027",,,"Bowling Lanes Inc.","Mancuso Rest &","278809","Inspection","Gloves observed in use at time of inspection.  0-220F metal stem thermometer observed readily available.  All cold holding food observed properly measuring 45F or less.  All refrigeration equipment observed with adequate indicating thermometers.  Discussed cooking, cooling, and reheating procedures with cook at time of inspection.  “Cool & Reheating of Potentially Hazardous Foods” brochure provided to cook.  No evidence of insect or rodent activity at time of inspection.  Chemical test strips observed readily available for testing sanitizing solutions.  “Availability of CPR Equipment” signage and brochure provided to cook at time of inspection.  Required resuscitation equipment to be obtained and signage to be posted conspicuously within 30 days.  Operator to notify Health Department upon correction of cited violations.","NY","(42.997061, -78.180526)"
"JIVE CAFE","17 COMMONS DRIVE,  COOPERSTOWN","12/19/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean;","0","0","3","Food Service Establishment - Restaurant","Oneonta District Office","OTSEGO","17 COMMONS DRIVE","COOPERSTOWN","13326","385600","HARTWICK","THE JIVE CAFE","05/31/2026",,,"DANGL","JAMES","761009","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.","NY","(42.65009, -74.960359)"
"GREENLEAF PHARMACY","544 WARBURTON AVENUE,  HASTINGS-ON-HUDSON","04/12/2024","No violations found.","0","0","0","Food Service Establishment - Frozen Desserts","Westchester County","WESTCHESTER","544 WARBURTON AVENUE","HASTINGS-ON-HUDSON","10706","592600","GREENBURGH","GREENLEAF PHARMACY - FROZEN DESSERT","08/31/2026",,,,,"532746","Inspection","Frozen dessert machine is sanitized and operated as per manufacturer's instructions. Temperature adequate at this time.","NY","(40.99589, -73.882055)"
"HUNGRY BURD LLC","3815 MAIN STREET,  BURDETT","11/14/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Hornell District Office","SCHUYLER","3815 MAIN STREET","BURDETT","14818","482200","HECTOR","HUNGRY BURD","08/15/2027",,,"COLUNIO","BRIANA","1121641","Re-Inspection","No cold holding violations were observed at the time of the re-inspection.","NY","(42.418208, -76.849556)"
"BMK STATIONERY & LUNCHEONETTE","703 MAIN STREET,  NEW ROCHELLE","01/29/2026","Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;","0","0","4","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","703 MAIN STREET","NEW ROCHELLE","10804","590400","NEW ROCHELLE","BMK STATIONERY & LUNCHEONETTE","06/30/2026",,,"BHALLA","JASMEET","481378","Inspection","WESTCHESTER COUNTY HEALTH DEPARTMENT WEBSITE: https://health.westchestergov.|com/sanitation|SINGLE USE LAW : ttps://www.westchestergov.com/home/all-press-releases/9920-westchester-county-supon-request-lawaimed-at-curbing-use-of-single-use-foodware-takes-effect-on-september-2|FOOD ALLERGEN LAW: https://health.westchestergov.com/images/stories/pdfs/FoodAllergyNotification.pdf|REQUIRED FOOD ALLERGEN POSTERS:|English: https://health.westchestergov.com/images/stories/PDF/foodallergylaw.pdf|Spanish: https://health.westchestergov.com/images/stories/PDF/foodallergylawsp.pdf||***At this time the facility has 0 restrooms open to the public|-seating restrictions to remain on permit|In accordance with revised Westchester County Sanitary  Code, Article V, the following will be removed from the facilities permit|-no onsite consumption of alcohol||Shannon 914-336-1290","NY","(40.904181, -73.788362)"
